,runtime,director,writer,actors
56,1h 22m,['Brad Peyton'],"['Steve Bencich', 'Ron J. Friedman']","[' (Diggs (voice))', ' (Butch (voice))', ' (Catherine (voice))', ' (Kitty Galore (voice))', ' (Jackie)', ' (Seamus (voice))', ' (Lou (voice))', ' (Mr. Tinkles (voice))', ' (Calico (voice))']"
57,1h 41m,['Michael Lembeck'],['Jim Piddock'],"[' (Derek Thompson / Tooth Fairy)', ' (Tracy)', ' (Carly)', ' (Lily)', ' (Mick Donnelly)', ' (Ziggy)', ' (Tess)', ' (Randy)', ' (Gabe)']"
58,1h 55m,['Kang Dae-gyu'],"['Lee Seung-yun', 'JK Youn']","[' (Jeong-hye Hong)', ' (Section Chief Bang)', ' (Hyeon-ju)', ' (Hwa-ja Ji)', ' (Na-yeong Gong)', ' (Kim Moon-ok)', ' (Prison Warden)', ' (Yeon-sil Kang)', ' (Newborn Min-wu)']"
59,52m,['Wim Vandekeybus'],[],"[' ()', ' ()', ' ()', ' ()']"
60,2h 9m,['Clint Eastwood'],[],"[' (George Lonegan)', ' (Marie Lelay)', ' (Melanie)', ' (Didier)', ' (Island Hotel Clerk)', ' (Stall Owner)', ' (Island Girl)', ' (Rescuer)', ' (Rescuer)']"
61,1h 54m,['Greg Berlanti'],"['Kristin Rusk Robinson', 'Ian Deitchman']","[' (Holly Berenson)', ' (Eric Messer)', ' (Sam)', ' (Sophie)', ' (Sophie)', ' (Sophie)', ' (Peter Novak)', ' (Alison Novack)', ' (Janine Groff)']"
62,2h 12m,['Jiang Wen'],[],"[' (Pocky Zhang)', ' (Huang Silang)', ' (Old Tang)', "" (Magistrate's wife)"", ' (The Second)', ' (The Third)', ' (The Four)', ' (The Five)', ' (The Six)']"
63,1h 52m,['Edward Zwick'],[],"[' (Jamie Randall)', ' (Maggie Murdock)', ' (Bruce Winston)', ' (Dr. Stan Knight)', ' (Josh Randall)', ' (Trey Hannigan)', ' (Cindy)', ' (Nancy Randall)', ' (Dr. James Randall)']"
64,2h 15m,['Feng Xiaogang'],['Su Xiao-Wei'],"[' (Li Yuanni)', ' (Fang Deng)', ' (Xiao He)', ' (Wang Deqing)', ' (Fang Da)', ' (Guilan Dong)', ' (Fang Daqiang)', ' (Young Fang Deng)', ' (Young Fang Da)']"
65,2h 9m,['Eiichirō Hasumi'],[],"[' (Daisuke Senzaki)', ' (Kanna Senzaki)', ' (Erika Matsubara)', ' ()', ' ()', ' ()', ' ()', ' ()']"
